Format Version,1.22,Take Name,Hexa_falla-2019-05-24 03.49.21 PM_004,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,27 Dec 1969 20:49:37 -0300,Total Frames in Take,9768,Total Exported Frames,9768,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Euge:Hip,Euge:Hip,Euge:Hip,Euge:Hip,Euge:Hip,Euge:Hip,Euge:Hip,Euge:WaistLFront,Euge:WaistLFront,Euge:WaistLFront,Euge:WaistRFront,Euge:WaistRFront,Euge:WaistRFront,Euge:WaistLBack,Euge:WaistLBack,Euge:WaistLBack,Euge:WaistRBack,Euge:WaistRBack,Euge:WaistRBack,Euge:Ab,Euge:Ab,Euge:Ab,Euge:Ab,Euge:Ab,Euge:Ab,Euge:Ab,Euge:Chest,Euge:Chest,Euge:Chest,Euge:Chest,Euge:Chest,Euge:Chest,Euge:Chest,Euge:BackTop,Euge:BackTop,Euge:BackTop,Euge:Chest,Euge:Chest,Euge:Chest,Euge:BackLeft,Euge:BackLeft,Euge:BackLeft,Euge:BackRight,Euge:BackRight,Euge:BackRight,Euge:Neck,Euge:Neck,Euge:Neck,Euge:Neck,Euge:Neck,Euge:Neck,Euge:Neck,Euge:Head,Euge:Head,Euge:Head,Euge:Head,Euge:Head,Euge:Head,Euge:Head,Euge:HeadTop,Euge:HeadTop,Euge:HeadTop,Euge:HeadFront,Euge:HeadFront,Euge:HeadFront,Euge:HeadSide,Euge:HeadSide,Euge:HeadSide,Euge:LShoulder,Euge:LShoulder,Euge:LShoulder,Euge:LShoulder,Euge:LShoulder,Euge:LShoulder,Euge:LShoulder,Euge:LShoulderBack,Euge:LShoulderBack,Euge:LShoulderBack,Euge:LShoulderTop,Euge:LShoulderTop,Euge:LShoulderTop,Euge:LUArm,Euge:LUArm,Euge:LUArm,Euge:LUArm,Euge:LUArm,Euge:LUArm,Euge:LUArm,Euge:LElbowOut,Euge:LElbowOut,Euge:LElbowOut,Euge:LUArmHigh,Euge:LUArmHigh,Euge:LUArmHigh,Euge:LFArm,Euge:LFArm,Euge:LFArm,Euge:LFArm,Euge:LFArm,Euge:LFArm,Euge:LFArm,Euge:LHand,Euge:LHand,Euge:LHand,Euge:LHand,Euge:LHand,Euge:LHand,Euge:LHand,Euge:LHandOut,Euge:LHandOut,Euge:LHandOut,Euge:LWristOut,Euge:LWristOut,Euge:LWristOut,Euge:LWristIn,Euge:LWristIn,Euge:LWristIn,Euge:RShoulder,Euge:RShoulder,Euge:RShoulder,Euge:RShoulder,Euge:RShoulder,Euge:RShoulder,Euge:RShoulder,Euge:RShoulderBack,Euge:RShoulderBack,Euge:RShoulderBack,Euge:RShoulderTop,Euge:RShoulderTop,Euge:RShoulderTop,Euge:RUArm,Euge:RUArm,Euge:RUArm,Euge:RUArm,Euge:RUArm,Euge:RUArm,Euge:RUArm,Euge:RElbowOut,Euge:RElbowOut,Euge:RElbowOut,Euge:RUArmHigh,Euge:RUArmHigh,Euge:RUArmHigh,Euge:RFArm,Euge:RFArm,Euge:RFArm,Euge:RFArm,Euge:RFArm,Euge:RFArm,Euge:RFArm,Euge:RHand,Euge:RHand,Euge:RHand,Euge:RHand,Euge:RHand,Euge:RHand,Euge:RHand,Euge:RHandOut,Euge:RHandOut,Euge:RHandOut,Euge:RWristOut,Euge:RWristOut,Euge:RWristOut,Euge:RWristIn,Euge:RWristIn,Euge:RWristIn,Euge:LThigh,Euge:LThigh,Euge:LThigh,Euge:LThigh,Euge:LThigh,Euge:LThigh,Euge:LThigh,Euge:LKneeOut,Euge:LKneeOut,Euge:LKneeOut,Euge:LThigh,Euge:LThigh,Euge:LThigh,Euge:LShin,Euge:LShin,Euge:LShin,Euge:LShin,Euge:LShin,Euge:LShin,Euge:LShin,Euge:LAnkleOut,Euge:LAnkleOut,Euge:LAnkleOut,Euge:LShin,Euge:LShin,Euge:LShin,Euge:LFoot,Euge:LFoot,Euge:LFoot,Euge:LFoot,Euge:LFoot,Euge:LFoot,Euge:LFoot,Euge:LToeOut,Euge:LToeOut,Euge:LToeOut,Euge:LToeIn,Euge:LToeIn,Euge:LToeIn,Euge:RThigh,Euge:RThigh,Euge:RThigh,Euge:RThigh,Euge:RThigh,Euge:RThigh,Euge:RThigh,Euge:RKneeOut,Euge:RKneeOut,Euge:RKneeOut,Euge:RThigh,Euge:RThigh,Euge:RThigh,Euge:RShin,Euge:RShin,Euge:RShin,Euge:RShin,Euge:RShin,Euge:RShin,Euge:RShin,Euge:RAnkleOut,Euge:RAnkleOut,Euge:RAnkleOut,Euge:RShin,Euge:RShin,Euge:RShin,Euge:RFoot,Euge:RFoot,Euge:RFoot,Euge:RFoot,Euge:RFoot,Euge:RFoot,Euge:RFoot,Euge:RToeOut,Euge:RToeOut,Euge:RToeOut,Euge:RToeIn,Euge:RToeIn,Euge:RToeIn,Euge:LToe,Euge:LToe,Euge:LToe,Euge:LToe,Euge:LToe,Euge:LToe,Euge:LToe,Euge:RToe,Euge:RToe,Euge:RToe,Euge:RToe,Euge:RToe,Euge:RToe,Euge:RToe,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,"RigidBody 01:Marker1","RigidBody 01:Marker1","RigidBody 01:Marker1","RigidBody 01:Marker1","RigidBody 01:Marker2","RigidBody 01:Marker2","RigidBody 01:Marker2","RigidBody 01:Marker2","RigidBody 01:Marker3","RigidBody 01:Marker3","RigidBody 01:Marker3","RigidBody 01:Marker3",RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,"RigidBody 03:Marker1","RigidBody 03:Marker1","RigidBody 03:Marker1","RigidBody 03:Marker1","RigidBody 03:Marker2","RigidBody 03:Marker2","RigidBody 03:Marker2","RigidBody 03:Marker2","RigidBody 03:Marker3","RigidBody 03:Marker3","RigidBody 03:Marker3","RigidBody 03:Marker3",RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 01:Marker3,Unlabeled 11513,Unlabeled 11513,Unlabeled 11513,Unlabeled 11514,Unlabeled 11514,Unlabeled 11514,Unlabeled 11515,Unlabeled 11515,Unlabeled 11515,Unlabeled 11517,Unlabeled 11517,Unlabeled 11517,Unlabeled 11518,Unlabeled 11518,Unlabeled 11518,Unlabeled 11519,Unlabeled 11519,Unlabeled 11519,Unlabeled 11520,Unlabeled 11520,Unlabeled 11520,Unlabeled 11521,Unlabeled 11521,Unlabeled 11521,Unlabeled 11522,Unlabeled 11522,Unlabeled 11522,Unlabeled 11523,Unlabeled 11523,Unlabeled 11523,Unlabeled 11524,Unlabeled 11524,Unlabeled 11524,Unlabeled 11526,Unlabeled 11526,Unlabeled 11526,Unlabeled 11527,Unlabeled 11527,Unlabeled 11527,Unlabeled 11528,Unlabeled 11528,Unlabeled 11528,Unlabeled 11529,Unlabeled 11529,Unlabeled 11529,Unlabeled 11531,Unlabeled 11531,Unlabeled 11531,Unlabeled 11532,Unlabeled 11532,Unlabeled 11532,Unlabeled 11533,Unlabeled 11533,Unlabeled 11533,Unlabeled 11534,Unlabeled 11534,Unlabeled 11534,Unlabeled 11545,Unlabeled 11545,Unlabeled 11545,Unlabeled 11547,Unlabeled 11547,Unlabeled 11547,Unlabeled 11548,Unlabeled 11548,Unlabeled 11548,Unlabeled 11550,Unlabeled 11550,Unlabeled 11550,Unlabeled 11551,Unlabeled 11551,Unlabeled 11551,Unlabeled 11552,Unlabeled 11552,Unlabeled 11552,Unlabeled 11553,Unlabeled 11553,Unlabeled 11553,Unlabeled 11554,Unlabeled 11554,Unlabeled 11554,Unlabeled 11555,Unlabeled 11555,Unlabeled 11555,Unlabeled 11560,Unlabeled 11560,Unlabeled 11560,Unlabeled 11561,Unlabeled 11561,Unlabeled 11561,Unlabeled 11562,Unlabeled 11562,Unlabeled 11562,Unlabeled 11563,Unlabeled 11563,Unlabeled 11563,Unlabeled 11568,Unlabeled 11568,Unlabeled 11568,Unlabeled 11569,Unlabeled 11569,Unlabeled 11569
,,"1","1","1","1","1","1","1","5","5","5","6","6","6","7","7","7","8","8","8","2","2","2","2","2","2","2","3","3","3","3","3","3","3","9","9","9","C","C","C","A","A","A","B","B","B","4","4","4","4","4","4","4","5","5","5","5","5","5","5","D","D","D","E","E","E","F","F","F","6","6","6","6","6","6","6","11","11","11","10","10","10","7","7","7","7","7","7","7","12","12","12","13","13","13","8","8","8","8","8","8","8","9","9","9","9","9","9","9","14","14","14","15","15","15","16","16","16","A","A","A","A","A","A","A","18","18","18","17","17","17","B","B","B","B","B","B","B","19","19","19","1A","1A","1A","C","C","C","C","C","C","C","D","D","D","D","D","D","D","1B","1B","1B","1C","1C","1C","1D","1D","1D","E","E","E","E","E","E","E","1F","1F","1F","1E","1E","1E","F","F","F","F","F","F","F","21","21","21","20","20","20","10","10","10","10","10","10","10","23","23","23","22","22","22","12","12","12","12","12","12","12","25","25","25","24","24","24","13","13","13","13","13","13","13","27","27","27","26","26","26","14","14","14","14","14","14","14","29","29","29","28","28","28","11","11","11","11","11","11","11","15","15","15","15","15","15","15","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","DBAE0","DBAE0","DBAE0","DBB00","DBB00","DBB00","DBAF0","DBAF0","DBAF0","DBB20","DBB20","DBB20","DBB30","DBB30","DBB30","DBA90","DBA90","DBA90","DBB50","DBB50","DBB50","DBB70","DBB70","DBB70","DBB80","DBB80","DBB80","DBB90","DBB90","DBB90","DBBA0","DBBA0","DBBA0","DBB60","DBB60","DBB60","DBBB0","DBBB0","DBBB0","DBBD0","DBBD0","DBBD0","DBBE0","DBBE0","DBBE0","DBBF0","DBBF0","DBBF0","DB6D0","DB6D0","DB6D0","DB5D0","DB5D0","DB5D0","DB630","DB630","DB630","DBC00","DBC00","DBC00","DBC10","DBC10","DBC10","DBC50","DBC50","DBC50","DBC60","DBC60","DBC60","DBC80","DBC80","DBC80","DBC40","DBC40","DBC40","DBCA0","DBCA0","DBCA0","DBCD0","DBCD0","DBCD0","DBCF0","DBCF0","DBCF0","DBCE0","DBCE0","DBCE0","DBD10","DBD10","DBD10","DBD20","DBD20","DBD20","DBD30","DBD30","DBD30","DBCB0","DBCB0","DBCB0","DBD40","DBD40","DBD40","DBD60","DBD60","DBD60","DBD70","DBD70","DBD70","DBD80","DBD80","DBD80"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.698833,-0.082855,-0.072451,-0.706766,-0.355367,0.199922,0.215063,0.000683,-0.334196,0.217404,0.169703,0.892465,-0.369953,0.168304,0.244593,0.824354,-0.361952,0.214059,0.230895,0.770583,,,,,,,,,,,,,,,,,,,,,-0.334113,0.217430,0.169521,-0.369866,0.168799,0.244443,-0.362141,0.213498,0.231265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.010000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.699201,-0.082866,-0.072779,-0.706367,-0.355355,0.199915,0.215102,0.000648,-0.334216,0.217363,0.169713,0.904415,-0.369909,0.168318,0.244670,0.842175,-0.361940,0.214064,0.230922,0.767548,,,,,,,,,,,,,,,,,,,,,-0.334113,0.217432,0.169491,-0.369851,0.168790,0.244582,-0.362125,0.213464,0.231279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.699635,-0.081002,-0.074463,-0.705978,-0.355260,0.199870,0.215128,0.000590,-0.334197,0.217398,0.169734,0.909122,-0.369660,0.168217,0.244712,0.861954,-0.361922,0.213995,0.230937,0.786735,,,,,,,,,,,,,,,,,,,,,-0.334097,0.217454,0.169514,-0.369606,0.168631,0.244623,-0.362098,0.213477,0.231288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.030000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.701048,-0.078986,-0.075476,-0.704696,-0.355206,0.200032,0.215036,0.000899,-0.334161,0.217507,0.169614,0.854490,-0.369501,0.168410,0.244704,0.739579,-0.361957,0.214178,0.230789,0.731950,,,,,,,,,,,,,,,,,,,,,-0.334114,0.217471,0.169509,-0.369351,0.169102,0.244413,-0.362164,0.213521,0.231206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.040000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.696079,-0.090253,-0.072749,-0.708545,-0.355089,0.199977,0.215244,0.000553,-0.334230,0.217479,0.169746,0.889122,-0.369687,0.168355,0.244764,0.893449,-0.361349,0.214097,0.231221,0.802746,,,,,,,,,,,,,,,,,,,,,-0.334120,0.217451,0.169490,-0.369600,0.168643,0.244599,-0.361569,0.213808,0.231688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
