Format Version,1.22,Take Name,Hexa_solo_2-2019-05-24 03.49.21 PM_003,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,27 Dec 1969 20:47:05 -0300,Total Frames in Take,6218,Total Exported Frames,6218,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Euge:Hip,Euge:Hip,Euge:Hip,Euge:Hip,Euge:Hip,Euge:Hip,Euge:Hip,Euge:WaistLFront,Euge:WaistLFront,Euge:WaistLFront,Euge:WaistRFront,Euge:WaistRFront,Euge:WaistRFront,Euge:WaistLBack,Euge:WaistLBack,Euge:WaistLBack,Euge:WaistRBack,Euge:WaistRBack,Euge:WaistRBack,Euge:Ab,Euge:Ab,Euge:Ab,Euge:Ab,Euge:Ab,Euge:Ab,Euge:Ab,Euge:Chest,Euge:Chest,Euge:Chest,Euge:Chest,Euge:Chest,Euge:Chest,Euge:Chest,Euge:BackTop,Euge:BackTop,Euge:BackTop,Euge:Chest,Euge:Chest,Euge:Chest,Euge:BackLeft,Euge:BackLeft,Euge:BackLeft,Euge:BackRight,Euge:BackRight,Euge:BackRight,Euge:Neck,Euge:Neck,Euge:Neck,Euge:Neck,Euge:Neck,Euge:Neck,Euge:Neck,Euge:Head,Euge:Head,Euge:Head,Euge:Head,Euge:Head,Euge:Head,Euge:Head,Euge:HeadTop,Euge:HeadTop,Euge:HeadTop,Euge:HeadFront,Euge:HeadFront,Euge:HeadFront,Euge:HeadSide,Euge:HeadSide,Euge:HeadSide,Euge:LShoulder,Euge:LShoulder,Euge:LShoulder,Euge:LShoulder,Euge:LShoulder,Euge:LShoulder,Euge:LShoulder,Euge:LShoulderBack,Euge:LShoulderBack,Euge:LShoulderBack,Euge:LShoulderTop,Euge:LShoulderTop,Euge:LShoulderTop,Euge:LUArm,Euge:LUArm,Euge:LUArm,Euge:LUArm,Euge:LUArm,Euge:LUArm,Euge:LUArm,Euge:LElbowOut,Euge:LElbowOut,Euge:LElbowOut,Euge:LUArmHigh,Euge:LUArmHigh,Euge:LUArmHigh,Euge:LFArm,Euge:LFArm,Euge:LFArm,Euge:LFArm,Euge:LFArm,Euge:LFArm,Euge:LFArm,Euge:LHand,Euge:LHand,Euge:LHand,Euge:LHand,Euge:LHand,Euge:LHand,Euge:LHand,Euge:LHandOut,Euge:LHandOut,Euge:LHandOut,Euge:LWristOut,Euge:LWristOut,Euge:LWristOut,Euge:LWristIn,Euge:LWristIn,Euge:LWristIn,Euge:RShoulder,Euge:RShoulder,Euge:RShoulder,Euge:RShoulder,Euge:RShoulder,Euge:RShoulder,Euge:RShoulder,Euge:RShoulderBack,Euge:RShoulderBack,Euge:RShoulderBack,Euge:RShoulderTop,Euge:RShoulderTop,Euge:RShoulderTop,Euge:RUArm,Euge:RUArm,Euge:RUArm,Euge:RUArm,Euge:RUArm,Euge:RUArm,Euge:RUArm,Euge:RElbowOut,Euge:RElbowOut,Euge:RElbowOut,Euge:RUArmHigh,Euge:RUArmHigh,Euge:RUArmHigh,Euge:RFArm,Euge:RFArm,Euge:RFArm,Euge:RFArm,Euge:RFArm,Euge:RFArm,Euge:RFArm,Euge:RHand,Euge:RHand,Euge:RHand,Euge:RHand,Euge:RHand,Euge:RHand,Euge:RHand,Euge:RHandOut,Euge:RHandOut,Euge:RHandOut,Euge:RWristOut,Euge:RWristOut,Euge:RWristOut,Euge:RWristIn,Euge:RWristIn,Euge:RWristIn,Euge:LThigh,Euge:LThigh,Euge:LThigh,Euge:LThigh,Euge:LThigh,Euge:LThigh,Euge:LThigh,Euge:LKneeOut,Euge:LKneeOut,Euge:LKneeOut,Euge:LThigh,Euge:LThigh,Euge:LThigh,Euge:LShin,Euge:LShin,Euge:LShin,Euge:LShin,Euge:LShin,Euge:LShin,Euge:LShin,Euge:LAnkleOut,Euge:LAnkleOut,Euge:LAnkleOut,Euge:LShin,Euge:LShin,Euge:LShin,Euge:LFoot,Euge:LFoot,Euge:LFoot,Euge:LFoot,Euge:LFoot,Euge:LFoot,Euge:LFoot,Euge:LToeOut,Euge:LToeOut,Euge:LToeOut,Euge:LToeIn,Euge:LToeIn,Euge:LToeIn,Euge:RThigh,Euge:RThigh,Euge:RThigh,Euge:RThigh,Euge:RThigh,Euge:RThigh,Euge:RThigh,Euge:RKneeOut,Euge:RKneeOut,Euge:RKneeOut,Euge:RThigh,Euge:RThigh,Euge:RThigh,Euge:RShin,Euge:RShin,Euge:RShin,Euge:RShin,Euge:RShin,Euge:RShin,Euge:RShin,Euge:RAnkleOut,Euge:RAnkleOut,Euge:RAnkleOut,Euge:RShin,Euge:RShin,Euge:RShin,Euge:RFoot,Euge:RFoot,Euge:RFoot,Euge:RFoot,Euge:RFoot,Euge:RFoot,Euge:RFoot,Euge:RToeOut,Euge:RToeOut,Euge:RToeOut,Euge:RToeIn,Euge:RToeIn,Euge:RToeIn,Euge:LToe,Euge:LToe,Euge:LToe,Euge:LToe,Euge:LToe,Euge:LToe,Euge:LToe,Euge:RToe,Euge:RToe,Euge:RToe,Euge:RToe,Euge:RToe,Euge:RToe,Euge:RToe,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,"RigidBody 01:Marker1","RigidBody 01:Marker1","RigidBody 01:Marker1","RigidBody 01:Marker1","RigidBody 01:Marker2","RigidBody 01:Marker2","RigidBody 01:Marker2","RigidBody 01:Marker2","RigidBody 01:Marker3","RigidBody 01:Marker3","RigidBody 01:Marker3","RigidBody 01:Marker3",RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,"RigidBody 03:Marker1","RigidBody 03:Marker1","RigidBody 03:Marker1","RigidBody 03:Marker1","RigidBody 03:Marker2","RigidBody 03:Marker2","RigidBody 03:Marker2","RigidBody 03:Marker2","RigidBody 03:Marker3","RigidBody 03:Marker3","RigidBody 03:Marker3","RigidBody 03:Marker3",RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 01:Marker3,Unlabeled 10156,Unlabeled 10156,Unlabeled 10156,Unlabeled 10157,Unlabeled 10157,Unlabeled 10157,Unlabeled 10158,Unlabeled 10158,Unlabeled 10158,Unlabeled 10160,Unlabeled 10160,Unlabeled 10160,Unlabeled 10161,Unlabeled 10161,Unlabeled 10161,Unlabeled 10198,Unlabeled 10198,Unlabeled 10198,Unlabeled 10219,Unlabeled 10219,Unlabeled 10219,Unlabeled 10229,Unlabeled 10229,Unlabeled 10229,Unlabeled 10322,Unlabeled 10322,Unlabeled 10322,Unlabeled 10357,Unlabeled 10357,Unlabeled 10357,Unlabeled 10358,Unlabeled 10358,Unlabeled 10358,Unlabeled 10389,Unlabeled 10389,Unlabeled 10389,Unlabeled 10390,Unlabeled 10390,Unlabeled 10390,Unlabeled 10391,Unlabeled 10391,Unlabeled 10391,Unlabeled 10392,Unlabeled 10392,Unlabeled 10392,Unlabeled 10393,Unlabeled 10393,Unlabeled 10393,Unlabeled 10394,Unlabeled 10394,Unlabeled 10394,Unlabeled 10395,Unlabeled 10395,Unlabeled 10395,Unlabeled 10396,Unlabeled 10396,Unlabeled 10396,Unlabeled 10538,Unlabeled 10538,Unlabeled 10538,Unlabeled 10551,Unlabeled 10551,Unlabeled 10551,Unlabeled 10731,Unlabeled 10731,Unlabeled 10731,Unlabeled 10756,Unlabeled 10756,Unlabeled 10756,Unlabeled 10834,Unlabeled 10834,Unlabeled 10834,Unlabeled 10853,Unlabeled 10853,Unlabeled 10853,Unlabeled 10863,Unlabeled 10863,Unlabeled 10863,Unlabeled 10864,Unlabeled 10864,Unlabeled 10864,Unlabeled 10879,Unlabeled 10879,Unlabeled 10879,Unlabeled 10930,Unlabeled 10930,Unlabeled 10930,Unlabeled 11003,Unlabeled 11003,Unlabeled 11003,Unlabeled 11451,Unlabeled 11451,Unlabeled 11451,Unlabeled 11459,Unlabeled 11459,Unlabeled 11459,Unlabeled 11462,Unlabeled 11462,Unlabeled 11462,Unlabeled 11464,Unlabeled 11464,Unlabeled 11464,Unlabeled 11465,Unlabeled 11465,Unlabeled 11465,Unlabeled 11466,Unlabeled 11466,Unlabeled 11466
,,"1","1","1","1","1","1","1","5","5","5","6","6","6","7","7","7","8","8","8","2","2","2","2","2","2","2","3","3","3","3","3","3","3","9","9","9","C","C","C","A","A","A","B","B","B","4","4","4","4","4","4","4","5","5","5","5","5","5","5","D","D","D","E","E","E","F","F","F","6","6","6","6","6","6","6","11","11","11","10","10","10","7","7","7","7","7","7","7","12","12","12","13","13","13","8","8","8","8","8","8","8","9","9","9","9","9","9","9","14","14","14","15","15","15","16","16","16","A","A","A","A","A","A","A","18","18","18","17","17","17","B","B","B","B","B","B","B","19","19","19","1A","1A","1A","C","C","C","C","C","C","C","D","D","D","D","D","D","D","1B","1B","1B","1C","1C","1C","1D","1D","1D","E","E","E","E","E","E","E","1F","1F","1F","1E","1E","1E","F","F","F","F","F","F","F","21","21","21","20","20","20","10","10","10","10","10","10","10","23","23","23","22","22","22","12","12","12","12","12","12","12","25","25","25","24","24","24","13","13","13","13","13","13","13","27","27","27","26","26","26","14","14","14","14","14","14","14","29","29","29","28","28","28","11","11","11","11","11","11","11","15","15","15","15","15","15","15","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","DB6C0","DB6C0","DB6C0","DB6F0","DB6F0","DB6F0","DB6E0","DB6E0","DB6E0","DB7D0","DB7D0","DB7D0","DB7E0","DB7E0","DB7E0","DB7F0","DB7F0","DB7F0","DB810","DB810","DB810","DB820","DB820","DB820","DB850","DB850","DB850","DB860","DB860","DB860","DB7C0","DB7C0","DB7C0","DB870","DB870","DB870","DB890","DB890","DB890","DB8A0","DB8A0","DB8A0","DB8B0","DB8B0","DB8B0","DB880","DB880","DB880","DB8C0","DB8C0","DB8C0","DB8D0","DB8D0","DB8D0","DB8E0","DB8E0","DB8E0","DB900","DB900","DB900","DB910","DB910","DB910","DB920","DB920","DB920","DB950","DB950","DB950","DB960","DB960","DB960","DB970","DB970","DB970","DB8F0","DB8F0","DB8F0","DB980","DB980","DB980","DB9A0","DB9A0","DB9A0","DB990","DB990","DB990","DB9B0","DB9B0","DB9B0","DB9D0","DB9D0","DB9D0","DB9E0","DB9E0","DB9E0","DBA10","DBA10","DBA10","DB9C0","DB9C0","DB9C0","DBA30","DBA30","DBA30","DBA60","DBA60","DBA60","DBA80","DBA80","DBA80","DBAA0","DBAA0","DBAA0","DBAB0","DBAB0","DBAB0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.714293,0.082227,0.056174,-0.692725,-0.011161,0.199495,-0.145618,0.000506,0.025768,0.216993,-0.179404,0.907733,-0.035039,0.167861,-0.122955,0.861367,-0.024212,0.213630,-0.134496,0.851429,,,,,,,,,,,,,,,,,,,,,0.025745,0.217340,-0.179398,-0.035364,0.168245,-0.122680,-0.023860,0.212871,-0.134781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.010000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.715038,0.082400,0.055595,-0.691983,-0.011121,0.199575,-0.145558,0.000550,0.025775,0.217031,-0.179403,0.951948,-0.034960,0.167972,-0.122812,0.826698,-0.024178,0.213724,-0.134459,0.808728,,,,,,,,,,,,,,,,,,,,,0.025768,0.217323,-0.179409,-0.035218,0.168585,-0.122607,-0.023906,0.212753,-0.134662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.714424,0.082670,0.056192,-0.692536,-0.011180,0.199475,-0.145605,0.000510,0.025761,0.216978,-0.179375,0.914041,-0.035055,0.167839,-0.122941,0.852510,-0.024246,0.213608,-0.134498,0.850785,,,,,,,,,,,,,,,,,,,,,0.025758,0.217322,-0.179386,-0.035382,0.168253,-0.122666,-0.023915,0.212823,-0.134762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.030000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.715647,0.083351,0.055634,-0.691235,-0.011144,0.199544,-0.145558,0.000536,0.025780,0.216972,-0.179385,0.918753,-0.034980,0.167959,-0.122783,0.841707,-0.024233,0.213700,-0.134507,0.837795,,,,,,,,,,,,,,,,,,,,,0.025778,0.217317,-0.179399,-0.035308,0.168429,-0.122511,-0.023902,0.212850,-0.134764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.040000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
