Format Version,1.22,Take Name,Omni_solo_2-2019-05-24 03.49.21 PM_002,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,27 Dec 1969 20:43:03 -0300,Total Frames in Take,5700,Total Exported Frames,5700,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Euge:Hip,Euge:Hip,Euge:Hip,Euge:Hip,Euge:Hip,Euge:Hip,Euge:Hip,Euge:WaistLFront,Euge:WaistLFront,Euge:WaistLFront,Euge:WaistRFront,Euge:WaistRFront,Euge:WaistRFront,Euge:WaistLBack,Euge:WaistLBack,Euge:WaistLBack,Euge:WaistRBack,Euge:WaistRBack,Euge:WaistRBack,Euge:Ab,Euge:Ab,Euge:Ab,Euge:Ab,Euge:Ab,Euge:Ab,Euge:Ab,Euge:Chest,Euge:Chest,Euge:Chest,Euge:Chest,Euge:Chest,Euge:Chest,Euge:Chest,Euge:BackTop,Euge:BackTop,Euge:BackTop,Euge:Chest,Euge:Chest,Euge:Chest,Euge:BackLeft,Euge:BackLeft,Euge:BackLeft,Euge:BackRight,Euge:BackRight,Euge:BackRight,Euge:Neck,Euge:Neck,Euge:Neck,Euge:Neck,Euge:Neck,Euge:Neck,Euge:Neck,Euge:Head,Euge:Head,Euge:Head,Euge:Head,Euge:Head,Euge:Head,Euge:Head,Euge:HeadTop,Euge:HeadTop,Euge:HeadTop,Euge:HeadFront,Euge:HeadFront,Euge:HeadFront,Euge:HeadSide,Euge:HeadSide,Euge:HeadSide,Euge:LShoulder,Euge:LShoulder,Euge:LShoulder,Euge:LShoulder,Euge:LShoulder,Euge:LShoulder,Euge:LShoulder,Euge:LShoulderBack,Euge:LShoulderBack,Euge:LShoulderBack,Euge:LShoulderTop,Euge:LShoulderTop,Euge:LShoulderTop,Euge:LUArm,Euge:LUArm,Euge:LUArm,Euge:LUArm,Euge:LUArm,Euge:LUArm,Euge:LUArm,Euge:LElbowOut,Euge:LElbowOut,Euge:LElbowOut,Euge:LUArmHigh,Euge:LUArmHigh,Euge:LUArmHigh,Euge:LFArm,Euge:LFArm,Euge:LFArm,Euge:LFArm,Euge:LFArm,Euge:LFArm,Euge:LFArm,Euge:LHand,Euge:LHand,Euge:LHand,Euge:LHand,Euge:LHand,Euge:LHand,Euge:LHand,Euge:LHandOut,Euge:LHandOut,Euge:LHandOut,Euge:LWristOut,Euge:LWristOut,Euge:LWristOut,Euge:LWristIn,Euge:LWristIn,Euge:LWristIn,Euge:RShoulder,Euge:RShoulder,Euge:RShoulder,Euge:RShoulder,Euge:RShoulder,Euge:RShoulder,Euge:RShoulder,Euge:RShoulderBack,Euge:RShoulderBack,Euge:RShoulderBack,Euge:RShoulderTop,Euge:RShoulderTop,Euge:RShoulderTop,Euge:RUArm,Euge:RUArm,Euge:RUArm,Euge:RUArm,Euge:RUArm,Euge:RUArm,Euge:RUArm,Euge:RElbowOut,Euge:RElbowOut,Euge:RElbowOut,Euge:RUArmHigh,Euge:RUArmHigh,Euge:RUArmHigh,Euge:RFArm,Euge:RFArm,Euge:RFArm,Euge:RFArm,Euge:RFArm,Euge:RFArm,Euge:RFArm,Euge:RHand,Euge:RHand,Euge:RHand,Euge:RHand,Euge:RHand,Euge:RHand,Euge:RHand,Euge:RHandOut,Euge:RHandOut,Euge:RHandOut,Euge:RWristOut,Euge:RWristOut,Euge:RWristOut,Euge:RWristIn,Euge:RWristIn,Euge:RWristIn,Euge:LThigh,Euge:LThigh,Euge:LThigh,Euge:LThigh,Euge:LThigh,Euge:LThigh,Euge:LThigh,Euge:LKneeOut,Euge:LKneeOut,Euge:LKneeOut,Euge:LThigh,Euge:LThigh,Euge:LThigh,Euge:LShin,Euge:LShin,Euge:LShin,Euge:LShin,Euge:LShin,Euge:LShin,Euge:LShin,Euge:LAnkleOut,Euge:LAnkleOut,Euge:LAnkleOut,Euge:LShin,Euge:LShin,Euge:LShin,Euge:LFoot,Euge:LFoot,Euge:LFoot,Euge:LFoot,Euge:LFoot,Euge:LFoot,Euge:LFoot,Euge:LToeOut,Euge:LToeOut,Euge:LToeOut,Euge:LToeIn,Euge:LToeIn,Euge:LToeIn,Euge:RThigh,Euge:RThigh,Euge:RThigh,Euge:RThigh,Euge:RThigh,Euge:RThigh,Euge:RThigh,Euge:RKneeOut,Euge:RKneeOut,Euge:RKneeOut,Euge:RThigh,Euge:RThigh,Euge:RThigh,Euge:RShin,Euge:RShin,Euge:RShin,Euge:RShin,Euge:RShin,Euge:RShin,Euge:RShin,Euge:RAnkleOut,Euge:RAnkleOut,Euge:RAnkleOut,Euge:RShin,Euge:RShin,Euge:RShin,Euge:RFoot,Euge:RFoot,Euge:RFoot,Euge:RFoot,Euge:RFoot,Euge:RFoot,Euge:RFoot,Euge:RToeOut,Euge:RToeOut,Euge:RToeOut,Euge:RToeIn,Euge:RToeIn,Euge:RToeIn,Euge:LToe,Euge:LToe,Euge:LToe,Euge:LToe,Euge:LToe,Euge:LToe,Euge:LToe,Euge:RToe,Euge:RToe,Euge:RToe,Euge:RToe,Euge:RToe,Euge:RToe,Euge:RToe,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,"RigidBody 01:Marker1","RigidBody 01:Marker1","RigidBody 01:Marker1","RigidBody 01:Marker1","RigidBody 01:Marker2","RigidBody 01:Marker2","RigidBody 01:Marker2","RigidBody 01:Marker2","RigidBody 01:Marker3","RigidBody 01:Marker3","RigidBody 01:Marker3","RigidBody 01:Marker3",RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,"RigidBody 03:Marker1","RigidBody 03:Marker1","RigidBody 03:Marker1","RigidBody 03:Marker1","RigidBody 03:Marker2","RigidBody 03:Marker2","RigidBody 03:Marker2","RigidBody 03:Marker2","RigidBody 03:Marker3","RigidBody 03:Marker3","RigidBody 03:Marker3","RigidBody 03:Marker3",RigidBody 03:Marker1,RigidBody 03:Marker1,RigidBody 03:Marker1,RigidBody 03:Marker2,RigidBody 03:Marker2,RigidBody 03:Marker2,RigidBody 03:Marker3,RigidBody 03:Marker3,RigidBody 03:Marker3,Unlabeled 10000,Unlabeled 10000,Unlabeled 10000,Unlabeled 10032,Unlabeled 10032,Unlabeled 10032,Unlabeled 10066,Unlabeled 10066,Unlabeled 10066,Unlabeled 10071,Unlabeled 10071,Unlabeled 10071,Unlabeled 10092,Unlabeled 10092,Unlabeled 10092,Unlabeled 8973,Unlabeled 8973,Unlabeled 8973,Unlabeled 9074,Unlabeled 9074,Unlabeled 9074,Unlabeled 9105,Unlabeled 9105,Unlabeled 9105,Unlabeled 9211,Unlabeled 9211,Unlabeled 9211,Unlabeled 9498,Unlabeled 9498,Unlabeled 9498,Unlabeled 9624,Unlabeled 9624,Unlabeled 9624,Unlabeled 9678,Unlabeled 9678,Unlabeled 9678,Unlabeled 9693,Unlabeled 9693,Unlabeled 9693,Unlabeled 9734,Unlabeled 9734,Unlabeled 9734,Unlabeled 9772,Unlabeled 9772,Unlabeled 9772,Unlabeled 9794,Unlabeled 9794,Unlabeled 9794,Unlabeled 9804,Unlabeled 9804,Unlabeled 9804,Unlabeled 9843,Unlabeled 9843,Unlabeled 9843,Unlabeled 9854,Unlabeled 9854,Unlabeled 9854,Unlabeled 9858,Unlabeled 9858,Unlabeled 9858,Unlabeled 9867,Unlabeled 9867,Unlabeled 9867,Unlabeled 9868,Unlabeled 9868,Unlabeled 9868,Unlabeled 9912,Unlabeled 9912,Unlabeled 9912,Unlabeled 9954,Unlabeled 9954,Unlabeled 9954,Unlabeled 9961,Unlabeled 9961,Unlabeled 9961,Unlabeled 9962,Unlabeled 9962,Unlabeled 9962,Unlabeled 9968,Unlabeled 9968,Unlabeled 9968,Unlabeled 9974,Unlabeled 9974,Unlabeled 9974,Unlabeled 9979,Unlabeled 9979,Unlabeled 9979,Unlabeled 9980,Unlabeled 9980,Unlabeled 9980,Unlabeled 9998,Unlabeled 9998,Unlabeled 9998
,,"1","1","1","1","1","1","1","5","5","5","6","6","6","7","7","7","8","8","8","2","2","2","2","2","2","2","3","3","3","3","3","3","3","9","9","9","C","C","C","A","A","A","B","B","B","4","4","4","4","4","4","4","5","5","5","5","5","5","5","D","D","D","E","E","E","F","F","F","6","6","6","6","6","6","6","11","11","11","10","10","10","7","7","7","7","7","7","7","12","12","12","13","13","13","8","8","8","8","8","8","8","9","9","9","9","9","9","9","14","14","14","15","15","15","16","16","16","A","A","A","A","A","A","A","18","18","18","17","17","17","B","B","B","B","B","B","B","19","19","19","1A","1A","1A","C","C","C","C","C","C","C","D","D","D","D","D","D","D","1B","1B","1B","1C","1C","1C","1D","1D","1D","E","E","E","E","E","E","E","1F","1F","1F","1E","1E","1E","F","F","F","F","F","F","F","21","21","21","20","20","20","10","10","10","10","10","10","10","23","23","23","22","22","22","12","12","12","12","12","12","12","25","25","25","24","24","24","13","13","13","13","13","13","13","27","27","27","26","26","26","14","14","14","14","14","14","14","29","29","29","28","28","28","11","11","11","11","11","11","11","15","15","15","15","15","15","15","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","28CACBC37E4F11E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","FD7F0397E5011E982A74C7BC3106DBC","DB190","DB190","DB190","DB120","DB120","DB120","DB1B0","DB1B0","DB1B0","DB5E0","DB5E0","DB5E0","DB670","DB670","DB670","DB640","DB640","DB640","DB680","DB680","DB680","DB6A0","DB6A0","DB6A0","DB360","DB360","DB360","DB410","DB410","DB410","DB400","DB400","DB400","DB460","DB460","DB460","DB490","DB490","DB490","DB4A0","DB4A0","DB4A0","DB450","DB450","DB450","DB390","DB390","DB390","DB4C0","DB4C0","DB4C0","DB4E0","DB4E0","DB4E0","DB3C0","DB3C0","DB3C0","DB4F0","DB4F0","DB4F0","DB500","DB500","DB500","DB540","DB540","DB540","DB530","DB530","DB530","DB510","DB510","DB510","DB550","DB550","DB550","DB4B0","DB4B0","DB4B0","DB580","DB580","DB580","DB5B0","DB5B0","DB5B0","DB590","DB590","DB590","DB5C0","DB5C0","DB5C0","DB3A0","DB3A0","DB3A0","DB370","DB370","DB370","DB380","DB380","DB380","DB610","DB610","DB610"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.666645,0.341862,0.219405,-0.624961,-0.158813,0.219404,0.041119,0.000728,-0.205940,0.221567,0.112813,0.779549,-0.157604,0.212732,-0.019030,0.873578,-0.112896,0.223913,0.029575,0.801188,-0.205493,0.221581,0.112431,-0.157472,0.212764,-0.018897,-0.113475,0.223865,0.029801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.010000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.667507,0.342166,0.221874,-0.622999,-0.161361,0.219314,0.040213,0.000787,-0.208810,0.221826,0.111682,0.764938,-0.159901,0.212507,-0.019917,0.858193,-0.115372,0.223608,0.028872,0.786261,-0.208339,0.221836,0.111274,-0.159757,0.212544,-0.019750,-0.115989,0.223558,0.029087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.665609,0.342348,0.221700,-0.624989,-0.164151,0.219523,0.039582,0.000788,-0.211569,0.221565,0.111087,0.767948,-0.162705,0.213010,-0.020580,0.874187,-0.118180,0.223994,0.028238,0.767044,-0.211056,0.221590,0.110738,-0.162497,0.213045,-0.020509,-0.118933,0.223930,0.028505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.030000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.040000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
